t,name,P,R,Xi,death_type
0,Kepler-1167 b,0.7631,0.0,0.6411,alive
0,Kepler-1740 b,0.5682,0.0,0.1839,alive
0,Kepler-1581 b,0.4464,0.9659,0.1085,alive
0,Kepler-644 b,0.5608,0.0,0.2576,alive
0,Kepler-1752 b,0.5562,0.347,0.4273,alive
0,Kepler-280 c,0.4898,0.0,0.1989,alive
0,Kepler-1208 b,0.7441,0.7716,0.1434,alive
0,Kepler-263 c,0.8745,0.9913,0.8501,alive
0,HD 136352 b,0.1316,0.9617,0.0241,alive
0,Kepler-1101 b,0.6342,0.851,0.5529,alive
0,HD 168746 b,0.0525,0.5641,0.261,alive
0,HAT-P-7 b,0.4588,0.7981,0.2809,alive
0,Kepler-560 b,0.9593,0.8552,0.0454,alive
0,Kepler-150 d,0.8445,0.0,0.2452,alive
0,Kepler-498 b,0.6301,0.4648,0.2789,alive
0,Kepler-817 b,0.6177,0.8766,0.5583,alive
0,Kepler-937 b,0.5404,0.1258,0.2105,alive
0,K2-10 b,0.6367,0.9535,0.4096,alive
0,Kepler-571 b,0.6096,0.0,0.1959,alive
0,Kepler-1458 b,0.6234,0.0,0.5695,alive
0,K2-335 b,0.161,0.8883,0.4866,alive
0,Kepler-1600 c,0.5812,0.0,0.3585,alive
0,HIP 41378 f,0.3798,0.0,0.2999,alive
0,Kepler-221 d,0.88,0.9388,0.5266,alive
0,Kepler-626 b,0.4494,0.5653,0.1922,alive
0,K2-39 b,0.7629,0.6665,0.0165,alive
0,Kepler-1549 b,0.652,0.1663,0.131,alive
0,K2-62 c,0.8163,0.0,0.0619,alive
0,Kepler-1149 b,0.5817,0.0,0.1523,alive
0,Kepler-1288 b,0.5456,0.6543,0.5402,alive
0,Kepler-128 b,0.3791,0.1799,0.5009,alive
0,Kepler-1245 b,0.6865,0.5008,0.0568,alive
0,Kepler-1068 b,0.5724,0.0,0.1497,alive
0,Kepler-311 c,0.8079,0.0865,0.7892,alive
0,Kepler-150 e,0.8445,0.0,0.168,alive
0,Kepler-272 c,0.0,0.2599,0.9125,dead
0,Kepler-152 c,0.8929,0.9534,0.279,alive
0,Kepler-1506 b,0.6499,0.9374,0.1851,alive
0,HAT-P-22 b,0.0,0.0,0.8451,dead
0,K2-25 b,0.9927,0.2164,0.4924,alive
0,CoRoT-3 b,0.5166,0.9789,0.1711,alive
0,HD 205739 b,0.533,0.9795,0.4311,alive
0,NGTS-10 b,0.5797,0.0,0.1254,alive
0,HD 224693 b,0.1907,0.6038,0.6591,alive
0,HD 156279 b,0.6487,0.0107,0.0522,alive
0,HD 12661 b,0.0,0.9967,0.5388,dead
0,2MASS J12073346-3932539 b,0.9999,0.0,0.3569,alive
0,HD 16417 b,0.0,0.0,0.2811,dead
0,HD 19994 b,0.4774,0.0,0.1919,alive
0,61 Vir b,0.2283,0.9579,0.0325,alive
0,HD 156279 c,0.6487,0.0,0.4292,alive
0,GJ 179 b,0.95,0.9988,0.8231,alive
0,GQ Lup b,0.9999,0.0189,0.2016,alive
0,GJ 832 b,0.89,0.6235,0.3942,alive
0,HD 37605 b,0.5159,0.4499,0.0393,alive
0,HD 33283 b,0.1878,0.0,0.0665,alive
0,Kepler-4 b,0.2556,0.8626,0.6012,alive
0,HD 9446 b,0.5,0.7259,0.174,alive
0,61 Vir c,0.2283,0.0,0.4698,alive
0,61 Vir d,0.2283,0.9884,0.1493,alive
0,HD 134987 c,0.0,0.9775,0.69,dead
0,HD 110014 b,0.3407,0.9974,0.4039,alive
0,HD 79498 b,0.6714,0.9864,0.1186,alive
0,WASP-43 b,0.8207,0.9988,0.0089,alive
0,HD 45652 b,0.318,0.1577,0.1634,alive
0,HIP 79431 b,0.916,0.9607,0.6763,alive
0,HD 3167 b,0.5,0.0,0.4729,alive
0,GJ 876 b,0.99,0.0,0.3131,alive
0,HD 114783 c,0.5389,0.0,0.2427,alive
0,HD 47186 c,0.413,0.9986,0.02,alive
0,HD 114783 b,0.5968,0.2477,0.2751,alive
0,HD 148156 b,0.1779,0.0,0.3683,alive
0,HD 12661 c,0.3285,0.0,0.0234,alive
0,HIP 14810 c,0.4012,0.0,0.039,alive
0,HIP 14810 b,0.4012,0.368,0.024,alive
0,GJ 876 d,0.99,0.9733,0.6039,alive
0,GJ 876 e,0.99,0.5166,0.7041,alive
0,gam1 Leo b,0.5952,0.8808,0.2383,alive
0,HAT-P-12 b,0.885,0.0,0.853,alive
0,HD 156411 b,0.2522,0.8972,0.0103,alive
0,HD 8535 b,0.3213,0.0759,0.2589,alive
0,HD 37605 c,0.5159,0.8984,0.3331,alive
0,K2-138 c,0.7633,0.0,0.2153,alive
0,HD 1605 c,0.1105,0.578,0.2874,alive
0,HAT-P-18 b,0.3548,0.97,0.5118,alive
0,WASP-31 b,0.8541,0.9188,0.1324,alive
0,BD+20 2457 b,0.0,0.6106,0.128,dead
0,HD 240210 b,0.6904,0.3747,0.0675,alive
0,CoRoT-17 b,0.0,0.0,0.8536,dead
0,HD 132563 b,0.6115,0.0,0.3256,alive
0,HD 55696 b,0.5009,0.994,0.0701,alive
0,HD 148164 b,0.6118,0.81,0.0867,alive
0,24 Sex c,0.2052,0.0,0.5098,alive
0,K2-138 f,0.7633,0.0737,0.0183,alive
0,CoRoT-5 b,0.3099,0.9598,0.2775,alive
0,HD 192310 c,0.5529,0.0,0.2358,alive
0,HD 22781 b,0.7661,0.0,0.142,alive
0,HD 68988 b,0.0,0.0,0.8888,dead
0,HD 148164 c,0.6118,0.0,0.1935,alive
0,HD 29985 b,0.7564,0.2726,0.3227,alive
0,HD 221416 b,0.2075,0.0,0.1208,alive
0,HD 3167 c,0.5,0.0,0.3658,alive
0,HD 90156 b,0.7154,0.0,0.1502,alive
0,KOI-217 b,0.8504,0.8628,0.0809,alive
0,HD 45350 b,0.2394,0.9643,0.5713,alive
0,TrES-3 b,0.9253,0.9874,0.0488,alive
0,WASP-10 b,0.659,0.0,0.59,alive
0,Kepler-14 b,0.3814,0.5579,0.3522,alive
0,MOA-2009-BLG-266L b,0.8826,0.7739,0.6256,alive
0,Kepler-15 b,0.6131,0.2705,0.0983,alive
0,Kepler-595 c,0.7748,0.0,0.1771,alive
0,Kepler-595 b,0.7748,0.762,0.7168,alive
0,HD 177830 c,0.0,0.0,0.5356,dead
0,ups And c,0.0365,0.9974,0.3256,alive
0,WASP-5 b,0.5123,0.961,0.3594,alive
0,OGLE-TR-111 b,0.4642,0.666,0.0987,alive
0,Kepler-17 b,0.8014,0.7895,0.636,alive
0,CoRoT-18 b,0.9472,0.0,0.7764,alive
0,HD 192310 b,0.5529,0.29,0.0287,alive
0,PSR B1257+12 b,0.3042,0.2525,0.0992,alive
0,PSR B1257+12 d,0.3042,0.0,0.0695,alive
0,ups And d,0.0365,0.9401,0.335,alive
0,MOA-2007-BLG-192L b,0.95,0.0,0.3255,alive
0,Kepler-40 b,0.2537,0.9396,0.06,alive
0,TOI-756 b,0.942,0.7586,0.2808,alive
0,HD 107148 b,0.2565,0.0,0.6618,alive
0,SWEEPS-11 b,0.3654,0.0,0.3092,alive
0,OGLE-TR-211 b,0.4695,0.0,0.3225,alive
0,Lupus-TR-3 b,0.647,0.0,0.2751,alive
0,OGLE-2005-BLG-390L b,0.95,0.9289,0.6773,alive
0,HN Peg b,0.9636,0.9178,0.6864,alive
0,HD 102365 b,0.4005,0.0,0.0849,alive
0,MOA-2009-BLG-387L b,0.95,0.9044,0.8909,alive
0,GJ 674 b,0.9945,1.0,0.4017,alive
0,WASP-96 b,0.0745,0.0,0.7712,alive
0,HD 69830 c,0.5199,0.8469,0.0445,alive
0,2MASS J04414489+2301513 b,1.0,0.0,0.2685,alive
0,WASP-21 b,0.0,0.9916,0.7558,dead
0,GJ 3634 b,0.9321,0.3727,0.3905,alive
0,HAT-P-4 b,0.3213,0.992,0.2681,alive
0,OGLE-TR-10 b,0.5698,0.96,0.0954,alive
0,TOI-178 g,0.798,0.4335,0.4879,alive
0,TOI-178 e,0.798,0.9749,0.5369,alive
0,HD 27442 b,0.0,0.997,0.9254,dead
0,HD 69830 d,0.5199,0.9594,0.4386,alive
0,GJ 3021 b,0.9715,0.0,0.7574,alive
0,HAT-P-16 b,0.6725,0.8352,0.5472,alive
0,CoRoT-8 b,0.782,0.0,0.1923,alive
0,OGLE-TR-113 b,0.293,0.0,0.0842,alive
0,HD 46375 b,0.2693,0.0954,0.2398,alive
0,HD 147513 b,0.961,0.8509,0.2093,alive
0,HD 221287 b,0.7728,0.0,0.2249,alive
0,HD 33564 b,0.4758,0.5775,0.4874,alive
0,CoRoT-11 b,0.6364,0.517,0.0566,alive
0,K2-138 g,0.7633,0.0,0.1903,alive
0,CoRoT-12 b,0.2398,0.0,0.7471,alive
0,HAT-P-28 b,0.3511,0.0,0.3006,alive
0,HD 129445 b,0.5124,0.505,0.3527,alive
0,Kepler-419 c,0.5124,0.5778,0.3372,alive
0,GJ 3470 b,0.9648,0.5453,0.8017,alive
0,51 Eri b,0.9917,0.0,0.644,alive
0,HD 70573 b,0.9898,0.0,0.6951,alive
0,HD 47536 b,0.0,0.9984,0.3135,dead
0,CoRoT-13 b,0.7971,0.0,0.247,alive
0,CoRoT-14 b,0.4298,0.928,0.279,alive
0,47 UMa c,0.2503,0.0,0.3787,alive
0,47 UMa b,0.2503,0.0284,0.3898,alive
0,47 UMa d,0.2503,0.9904,0.397,alive
0,MOA-2008-BLG-310L b,0.95,0.8745,0.1402,alive
0,Kepler-419 b,0.5124,0.7434,0.0727,alive
0,HD 24040 b,0.1328,0.9629,0.6211,alive
0,K2-138 e,0.7633,0.0,0.0157,alive
0,HD 11964 c,0.4114,0.909,0.0262,alive
0,CoRoT-6 b,0.7175,0.5801,0.3532,alive
0,HAT-P-2 b,0.7061,0.0,0.1948,alive
0,Kepler-59 c,0.9713,0.0,0.5612,alive
0,Kepler-58 c,0.8117,0.0,0.543,alive
0,HD 154857 c,0.0,0.8746,0.5127,dead
0,GJ 357 d,0.95,0.0,0.4523,alive
0,Kepler-51 c,0.9669,0.0,0.0283,alive
0,BD-210397 c,0.8418,0.0378,0.2281,alive
0,Kepler-62 c,0.7231,0.9012,0.4506,alive
0,Kepler-62 b,0.7231,0.5281,0.1662,alive
0,CHXR 73 b,1.0,0.0,0.5802,alive
0,FU Tau b,1.0,0.0,0.778,alive
0,GJ 667 C b,0.98,0.0,0.1903,alive
0,HD 168443 c,0.0,0.9578,0.7695,dead
0,Kepler-59 b,0.9713,0.601,0.3904,alive
0,Kepler-53 b,0.9714,0.5158,0.5884,alive
0,HD 82943 c,0.7151,0.0,0.229,alive
0,HD 82943 b,0.7151,0.0,0.4478,alive
0,UZ For b,0.795,0.5425,0.0659,alive
0,Kepler-69 b,0.2217,0.9861,0.557,alive
0,HIP 5158 c,0.6776,0.9875,0.2298,alive
0,HU Aqr AB b,0.6367,0.4685,0.1421,alive
0,HD 63433 c,0.963,0.9624,0.5206,alive
0,Kepler-52 c,0.9783,0.9701,0.8233,alive
0,Kepler-55 b,0.9292,0.9866,0.1012,alive
0,UZ For c,0.795,0.8804,0.7347,alive
0,Kepler-413 b,0.6955,0.9076,0.6785,alive
0,Earth,1.0,0.8598,0.0,alive
0,Mars,1.0,0.597,0.0,alive
1,Kepler-1167 b,0.7631,0.0,0.6383,alive
1,Kepler-1740 b,0.5681,0.0,0.1858,alive
1,Kepler-1581 b,0.4463,0.9661,0.1097,alive
1,Kepler-644 b,0.5607,0.0,0.2554,alive
1,Kepler-1752 b,0.5562,0.347,0.4255,alive
1,Kepler-280 c,0.4898,0.0,0.1974,alive
1,Kepler-1208 b,0.7441,0.7719,0.1408,alive
