t,name,P,R,Xi,death_type
0,SimStar-1,0.1286,0.0,0.1663,alive
0,SimStar-2,0.6605,0.0,0.661,alive
0,SimStar-3,0.7513,0.8505,0.6903,alive
0,SimStar-4,0.7686,0.3316,0.5916,alive
0,SimStar-5,0.8349,0.2137,0.649,alive
0,SimStar-6,0.6453,0.0,0.2749,alive
0,SimStar-7,0.6001,0.9513,0.4873,alive
0,SimStar-8,0.5798,0.9205,0.4915,alive
0,SimStar-9,0.5669,0.0,0.1695,alive
0,SimStar-10,0.8275,0.0,0.7262,alive
0,SimStar-11,0.5384,0.8944,0.4004,alive
0,SimStar-12,0.6272,0.0,0.3875,alive
0,SimStar-13,0.5788,0.0834,0.3497,alive
0,SimStar-14,0.4679,0.0,0.4663,alive
0,SimStar-15,0.7864,0.0,0.4302,alive
0,SimStar-16,0.4025,0.0,0.2576,alive
0,SimStar-17,0.4697,0.0,0.2847,alive
0,SimStar-18,0.3764,0.0,0.2118,alive
0,SimStar-19,0.447,0.0374,0.3423,alive
0,SimStar-20,0.259,0.0,0.1054,alive
0,SimStar-21,0.2466,0.92,0.2059,alive
0,SimStar-22,0.7412,0.0,0.4984,alive
0,SimStar-23,0.9203,0.0,0.7634,alive
0,SimStar-24,0.701,0.0,0.5589,alive
0,SimStar-25,0.6413,0.3633,0.3014,alive
0,SimStar-26,0.4234,0.9704,0.3041,alive
0,SimStar-27,0.5768,0.9431,0.269,alive
0,SimStar-28,0.8799,0.0,0.562,alive
0,SimStar-29,0.9275,0.0,0.7786,alive
0,SimStar-30,0.1672,0.0463,0.1227,alive
0,SimStar-31,0.6494,0.0,0.5286,alive
0,SimStar-32,0.924,0.0,0.5773,alive
0,SimStar-33,0.4394,0.0,0.2859,alive
0,SimStar-34,0.3968,0.5534,0.3036,alive
0,SimStar-35,0.8435,0.9035,0.8289,alive
0,SimStar-36,0.8094,0.2607,0.5013,alive
0,SimStar-37,0.501,0.0,0.3538,alive
0,SimStar-38,0.2086,0.0,0.2135,alive
0,SimStar-39,0.6968,0.0,0.3653,alive
