2025-12-08T12:42:25.669150,198,468,blindspot_overflow_death
2025-12-08T12:42:25.669310,182,469,blindspot_overflow_death
2025-12-08T12:42:25.669393,68,470,blindspot_overflow_death
2025-12-08T12:42:25.669399,72,470,blindspot_overflow_death
2025-12-08T12:42:25.669441,122,470,blindspot_overflow_death
2025-12-08T12:42:25.669638,158,471,blindspot_overflow_death
2025-12-08T12:42:25.669832,5,473,blindspot_overflow_death
2025-12-08T12:42:25.669868,42,473,blindspot_overflow_death
2025-12-08T12:42:25.669944,125,473,blindspot_overflow_death
2025-12-08T12:42:25.669997,8,474,blindspot_overflow_death
2025-12-08T12:42:25.670081,91,474,blindspot_overflow_death
2025-12-08T12:42:25.670292,175,475,blindspot_overflow_death
2025-12-08T12:42:25.670337,34,476,blindspot_overflow_death
2025-12-08T12:42:25.670523,65,477,blindspot_overflow_death
2025-12-08T12:42:25.670534,76,477,blindspot_overflow_death
2025-12-08T12:42:25.670575,130,477,blindspot_overflow_death
2025-12-08T12:42:25.670678,66,478,blindspot_overflow_death
2025-12-08T12:42:25.670682,69,478,blindspot_overflow_death
2025-12-08T12:42:25.670721,121,478,blindspot_overflow_death
2025-12-08T12:42:25.670814,53,479,blindspot_overflow_death
2025-12-08T12:42:25.670823,61,479,blindspot_overflow_death
2025-12-08T12:42:25.670841,84,479,blindspot_overflow_death
2025-12-08T12:42:25.670849,94,479,blindspot_overflow_death
2025-12-08T12:42:25.670863,113,479,blindspot_overflow_death
2025-12-08T12:42:25.670910,188,479,blindspot_overflow_death
2025-12-08T12:42:25.670938,28,480,blindspot_overflow_death
2025-12-08T12:42:25.670973,64,480,blindspot_overflow_death
2025-12-08T12:42:25.670993,100,480,blindspot_overflow_death
2025-12-08T12:42:25.671061,13,481,blindspot_overflow_death
2025-12-08T12:42:25.671082,39,481,blindspot_overflow_death
2025-12-08T12:42:25.671165,163,481,blindspot_overflow_death
2025-12-08T12:42:25.671190,11,482,blindspot_overflow_death
2025-12-08T12:42:25.671234,63,482,blindspot_overflow_death
2025-12-08T12:42:25.671258,108,482,blindspot_overflow_death
2025-12-08T12:42:25.671264,116,482,blindspot_overflow_death
2025-12-08T12:42:25.671286,148,482,blindspot_overflow_death
2025-12-08T12:42:25.671326,24,483,blindspot_overflow_death
2025-12-08T12:42:25.671375,92,483,blindspot_overflow_death
2025-12-08T12:42:25.671379,98,483,blindspot_overflow_death
2025-12-08T12:42:25.671497,105,484,blindspot_overflow_death
2025-12-08T12:42:25.671576,44,485,blindspot_overflow_death
2025-12-08T12:42:25.671596,71,485,blindspot_overflow_death
2025-12-08T12:42:25.671610,104,485,blindspot_overflow_death
2025-12-08T12:42:25.671658,196,485,blindspot_overflow_death
2025-12-08T12:42:25.671803,56,487,blindspot_overflow_death
2025-12-08T12:42:25.673385,16,488,blindspot_overflow_death
2025-12-08T12:42:25.673427,77,488,blindspot_overflow_death
2025-12-08T12:42:25.673529,79,489,blindspot_overflow_death
2025-12-08T12:42:25.673586,4,490,blindspot_overflow_death
2025-12-08T12:42:25.673601,32,490,blindspot_overflow_death
2025-12-08T12:42:25.673618,51,490,blindspot_overflow_death
2025-12-08T12:42:25.673652,139,490,blindspot_overflow_death
2025-12-08T12:42:25.673678,186,490,blindspot_overflow_death
2025-12-08T12:42:25.673732,110,491,blindspot_overflow_death
2025-12-08T12:42:25.673735,114,491,blindspot_overflow_death
2025-12-08T12:42:25.673834,141,492,blindspot_overflow_death
2025-12-08T12:42:25.673862,199,492,blindspot_overflow_death
2025-12-08T12:42:25.673875,27,493,blindspot_overflow_death
2025-12-08T12:42:25.673944,183,493,blindspot_overflow_death
2025-12-08T12:42:25.673950,0,494,blindspot_overflow_death
2025-12-08T12:42:25.673969,41,494,blindspot_overflow_death
2025-12-08T12:42:25.674006,135,494,blindspot_overflow_death
2025-12-08T12:42:25.674043,31,495,blindspot_overflow_death
2025-12-08T12:42:25.674069,82,495,blindspot_overflow_death
2025-12-08T12:42:25.674110,9,496,blindspot_overflow_death
2025-12-08T12:42:25.674135,55,496,blindspot_overflow_death
2025-12-08T12:42:25.674185,18,497,blindspot_overflow_death
2025-12-08T12:42:25.674224,124,497,blindspot_overflow_death
2025-12-08T12:42:25.674243,156,497,blindspot_overflow_death
2025-12-08T12:42:25.674343,62,499,blindspot_overflow_death
2025-12-08T12:42:25.674371,153,499,blindspot_overflow_death
2025-12-08T12:42:25.674430,147,500,blindspot_overflow_death
2025-12-08T12:42:25.674442,177,500,blindspot_overflow_death
2025-12-08T12:42:25.674472,67,501,blindspot_overflow_death
2025-12-08T12:42:25.674533,78,502,blindspot_overflow_death
2025-12-08T12:42:25.674554,152,502,blindspot_overflow_death
2025-12-08T12:42:25.674598,117,503,blindspot_overflow_death
2025-12-08T12:42:25.674602,126,503,blindspot_overflow_death
2025-12-08T12:42:25.674634,40,504,blindspot_overflow_death
