t,name,P,R,Xi,death_type
0,SimStar-1,0.5956,0.9076,0.2465,alive
0,SimStar-2,0.9508,0.9379,0.6304,alive
0,SimStar-3,0.1619,0.0,0.0459,alive
0,SimStar-4,0.6941,0.971,0.5091,alive
0,SimStar-5,0.3797,0.3858,0.1358,alive
0,SimStar-6,0.519,0.0,0.4708,alive
0,SimStar-7,0.5163,0.9165,0.2053,alive
0,SimStar-8,0.6155,0.9746,0.6328,alive
0,SimStar-9,0.4273,0.952,0.3425,alive
0,SimStar-10,0.2866,0.0,0.1314,alive
0,SimStar-11,0.5082,0.0,0.2223,alive
0,SimStar-12,0.6454,0.0,0.4208,alive
0,SimStar-13,0.3014,0.9017,0.2909,alive
0,SimStar-14,0.5602,0.0,0.2992,alive
0,SimStar-15,0.8127,0.0,0.633,alive
0,SimStar-16,0.9666,0.0,0.5801,alive
0,SimStar-17,0.5499,0.8579,0.2537,alive
0,SimStar-18,0.598,0.0,0.4843,alive
0,SimStar-19,0.3204,0.0,0.0662,alive
0,SimStar-20,0.8503,0.9738,0.6758,alive
0,SimStar-21,0.6122,0.9777,0.2735,alive
0,SimStar-22,0.559,0.0,0.3532,alive
0,SimStar-23,0.4467,0.0,0.4633,alive
0,SimStar-24,0.64,0.0,0.2826,alive
0,SimStar-25,0.6763,0.0,0.6282,alive
0,SimStar-26,0.1963,0.9296,0.1013,alive
0,SimStar-27,0.2593,0.0,0.2834,alive
0,SimStar-28,0.8009,0.3953,0.6021,alive
0,SimStar-29,0.2687,0.0,0.1414,alive
0,SimStar-30,0.4269,0.0,0.183,alive
0,SimStar-31,0.7597,0.97,0.6743,alive
0,SimStar-32,0.7002,0.7903,0.5692,alive
0,SimStar-33,0.6345,0.0,0.462,alive
0,SimStar-34,0.7188,0.0,0.3703,alive
0,SimStar-35,0.9114,0.9201,0.7325,alive
0,SimStar-36,0.175,0.228,0.0936,alive
0,SimStar-37,0.7388,0.9084,0.4948,alive
0,SimStar-38,0.7578,0.0,0.4763,alive
0,SimStar-39,0.2486,0.0,0.0497,alive
0,SimStar-40,0.7077,0.7644,0.3872,alive
0,SimStar-41,0.6495,0.0,0.6183,alive
0,SimStar-42,0.5203,0.0,0.4564,alive
0,SimStar-43,0.8817,0.0758,0.5604,alive
0,SimStar-44,0.9621,0.9879,0.6555,alive
0,SimStar-45,0.4907,0.8015,0.1215,alive
0,SimStar-46,0.6397,0.0,0.4957,alive
0,SimStar-47,0.2329,0.9209,0.0665,alive
0,SimStar-48,0.3189,0.0,0.0876,alive
0,SimStar-49,0.1872,0.0,0.0329,alive
0,SimStar-50,0.9085,0.9483,0.6831,alive
0,Earth,1.0,0.8598,0.0,alive
0,Mars,1.0,0.597,0.0,alive
1,SimStar-1,0.5955,0.9077,0.2442,alive
1,SimStar-2,0.9508,0.9376,0.6267,alive
1,SimStar-3,0.1619,0.0,0.0453,alive
1,SimStar-4,0.6941,0.9702,0.5068,alive
1,SimStar-5,0.3796,0.3857,0.1349,alive
1,SimStar-6,0.5187,0.0,0.4696,alive
1,SimStar-7,0.5161,0.9151,0.2038,alive
1,SimStar-8,0.6152,0.9741,0.6312,alive
1,SimStar-9,0.427,0.9515,0.3422,alive
1,SimStar-10,0.2866,0.0,0.1309,alive
1,SimStar-11,0.508,0.0,0.2208,alive
1,SimStar-12,0.6453,0.0,0.4183,alive
1,SimStar-13,0.3013,0.9015,0.2913,alive
1,SimStar-14,0.5601,0.0,0.2976,alive
1,SimStar-15,0.8127,0.0,0.6297,alive
1,SimStar-16,0.9664,0.0,0.5765,alive
1,SimStar-17,0.5498,0.8567,0.2518,alive
1,SimStar-18,0.5979,0.0,0.4827,alive
1,SimStar-19,0.3203,0.0,0.0658,alive
1,SimStar-20,0.8501,0.9733,0.6721,alive
1,SimStar-21,0.6121,0.9763,0.2714,alive
1,SimStar-22,0.559,0.0,0.3512,alive
1,SimStar-23,0.4464,0.0,0.463,alive
1,SimStar-24,0.6399,0.0,0.2806,alive
1,SimStar-25,0.6762,0.0,0.6267,alive
1,SimStar-26,0.1963,0.9289,0.1018,alive
1,SimStar-27,0.2593,0.0,0.284,alive
1,SimStar-28,0.8007,0.3953,0.5994,alive
1,SimStar-29,0.2684,0.0,0.1414,alive
1,SimStar-30,0.4267,0.0,0.182,alive
1,SimStar-31,0.7597,0.9701,0.671,alive
1,SimStar-32,0.7001,0.7895,0.5672,alive
1,SimStar-33,0.6343,0.0,0.4591,alive
1,SimStar-34,0.7187,0.0,0.3681,alive
1,SimStar-35,0.9113,0.9202,0.7281,alive
1,SimStar-36,0.175,0.2279,0.0954,alive
1,SimStar-37,0.7388,0.9075,0.4928,alive
1,SimStar-38,0.7578,0.0,0.4734,alive
1,SimStar-39,0.2486,0.0,0.0497,alive
1,SimStar-40,0.7077,0.764,0.3845,alive
1,SimStar-41,0.6493,0.0,0.6169,alive
1,SimStar-42,0.5203,0.0,0.4559,alive
1,SimStar-43,0.8817,0.0758,0.5566,alive
1,SimStar-44,0.962,0.9884,0.6517,alive
1,SimStar-45,0.4907,0.8007,0.1207,alive
1,SimStar-46,0.6396,0.0,0.494,alive
1,SimStar-47,0.2328,0.9201,0.0666,alive
1,SimStar-48,0.3189,0.0,0.0878,alive
1,SimStar-49,0.1871,0.0,0.0334,alive
1,SimStar-50,0.9083,0.9475,0.6792,alive
1,Earth,0.9999,0.8584,0.0001,alive
1,Mars,0.9999,0.5959,0.0001,alive
2,SimStar-1,0.5953,0.9079,0.2427,alive
2,SimStar-2,0.9508,0.9368,0.6233,alive
2,SimStar-3,0.1619,0.0,0.0451,alive
2,SimStar-4,0.6941,0.9698,0.5046,alive
2,SimStar-5,0.3794,0.3856,0.134,alive
2,SimStar-6,0.5185,0.0,0.4688,alive
2,SimStar-7,0.516,0.9147,0.2024,alive
2,SimStar-8,0.615,0.9732,0.6291,alive
2,SimStar-9,0.4267,0.9503,0.3407,alive
2,SimStar-10,0.2866,0.0,0.1313,alive
2,SimStar-11,0.5077,0.0,0.2195,alive
2,SimStar-12,0.6453,0.0,0.4163,alive
2,SimStar-13,0.3013,0.9009,0.2919,alive
2,SimStar-14,0.56,0.0,0.2957,alive
2,SimStar-15,0.8126,0.0,0.6274,alive
2,SimStar-16,0.9663,0.0,0.5717,alive
2,SimStar-17,0.5498,0.8568,0.2503,alive
2,SimStar-18,0.5978,0.0,0.4802,alive
2,SimStar-19,0.3201,0.0,0.0654,alive
2,SimStar-20,0.8498,0.9731,0.6684,alive
2,SimStar-21,0.6119,0.976,0.2694,alive
2,SimStar-22,0.559,0.0,0.3501,alive
2,SimStar-23,0.4462,0.0,0.4614,alive
2,SimStar-24,0.6398,0.0,0.2779,alive
2,SimStar-25,0.6762,0.0,0.6254,alive
2,SimStar-26,0.1962,0.9279,0.1016,alive
2,SimStar-27,0.2593,0.0,0.284,alive
2,SimStar-28,0.8006,0.3948,0.5959,alive
2,SimStar-29,0.2682,0.0,0.142,alive
2,SimStar-30,0.4265,0.0,0.1815,alive
2,SimStar-31,0.7597,0.9703,0.6675,alive
2,SimStar-32,0.7001,0.7888,0.5649,alive
