t,name,P,R,Xi,death_type
0,Kepler-1167 b,0.7631,0.0,0.5857,alive
0,Kepler-1740 b,0.5682,0.0,0.1682,alive
0,Kepler-1581 b,0.4464,0.918,0.0835,alive
0,Kepler-644 b,0.5608,0.9855,0.1355,alive
0,Kepler-1752 b,0.5562,0.9884,0.1984,alive
0,Kepler-280 c,0.4898,0.289,0.3412,alive
0,Kepler-1208 b,0.7441,0.179,0.4273,alive
0,Kepler-263 c,0.8745,0.0,0.373,alive
0,HD 136352 b,0.1316,0.892,0.289,alive
0,Kepler-1101 b,0.6342,0.4118,0.6002,alive
0,HD 168746 b,0.0525,0.9969,0.6894,alive
0,HAT-P-7 b,0.4588,0.0,0.3905,alive
0,Kepler-560 b,0.9593,0.5266,0.3843,alive
0,Kepler-150 d,0.8445,0.5971,0.1056,alive
0,Kepler-498 b,0.6301,0.0,0.174,alive
0,Kepler-817 b,0.6177,0.1926,0.4101,alive
0,Kepler-937 b,0.5404,0.8588,0.4382,alive
0,K2-10 b,0.6367,0.0,0.1035,alive
0,Kepler-571 b,0.6096,0.7578,0.3378,alive
0,Kepler-1458 b,0.6234,0.0,0.3092,alive
0,K2-335 b,0.161,0.0,0.6252,alive
0,Kepler-1600 c,0.5812,0.9062,0.1209,alive
0,HIP 41378 f,0.3798,0.8532,0.358,alive
0,Kepler-221 d,0.88,0.0,0.5096,alive
0,Kepler-626 b,0.4494,0.0,0.3861,alive
0,K2-39 b,0.7629,0.0,0.0289,alive
0,Kepler-1549 b,0.652,0.0,0.6244,alive
0,K2-62 c,0.8163,0.306,0.3952,alive
0,Kepler-1149 b,0.5817,0.3676,0.3509,alive
0,Kepler-1288 b,0.5456,0.0,0.1283,alive
0,Kepler-128 b,0.3791,0.5357,0.0032,alive
0,Kepler-1245 b,0.6865,0.5444,0.0338,alive
0,Kepler-1068 b,0.5724,0.8574,0.2632,alive
0,Kepler-311 c,0.8079,0.2537,0.0872,alive
0,Kepler-150 e,0.8445,0.0,0.2018,alive
0,Kepler-272 c,0.0,0.9535,0.0923,dead
0,Kepler-152 c,0.8929,0.7488,0.4287,alive
0,Kepler-1506 b,0.6499,0.952,0.139,alive
0,HAT-P-22 b,0.0,0.9561,0.2624,dead
0,K2-25 b,0.9927,0.9692,0.2354,alive
0,CoRoT-3 b,0.5166,0.1009,0.2974,alive
0,HD 205739 b,0.533,0.72,0.4268,alive
0,NGTS-10 b,0.5797,0.0,0.0829,alive
0,HD 224693 b,0.1907,0.0,0.0288,alive
0,HD 156279 b,0.6487,0.9727,0.3102,alive
0,HD 12661 b,0.0,0.0,0.919,dead
0,2MASS J12073346-3932539 b,0.9999,0.0,0.322,alive
0,HD 16417 b,0.0,0.0,0.9381,dead
0,HD 19994 b,0.4774,0.1772,0.0784,alive
0,61 Vir b,0.2283,0.0,0.0235,alive
0,HD 156279 c,0.6487,0.9321,0.3293,alive
0,GJ 179 b,0.95,0.7402,0.7636,alive
0,GQ Lup b,0.9999,0.2247,0.2578,alive
0,GJ 832 b,0.89,0.8066,0.0647,alive
0,HD 37605 b,0.5159,0.3819,0.421,alive
0,HD 33283 b,0.1878,0.0,0.6403,alive
0,Kepler-4 b,0.2556,0.0,0.4139,alive
0,HD 9446 b,0.5,0.0,0.1202,alive
0,61 Vir c,0.2283,0.0508,0.077,alive
0,61 Vir d,0.2283,0.3974,0.1306,alive
0,HD 134987 c,0.0,0.179,0.7447,dead
0,HD 110014 b,0.3407,0.0,0.519,alive
0,HD 79498 b,0.6714,0.0,0.0838,alive
0,WASP-43 b,0.8207,0.5779,0.7234,alive
0,HD 45652 b,0.318,0.8939,0.6434,alive
0,HIP 79431 b,0.916,0.4751,0.5449,alive
0,HD 3167 b,0.5,0.9614,0.2316,alive
0,GJ 876 b,0.99,0.0,0.6532,alive
0,HD 114783 c,0.5389,0.342,0.1817,alive
0,HD 47186 c,0.413,0.8972,0.3618,alive
0,HD 114783 b,0.5968,0.971,0.0983,alive
0,HD 148156 b,0.1779,0.8092,0.7141,alive
0,HD 12661 c,0.3285,0.0,0.5305,alive
0,HIP 14810 c,0.4012,0.0,0.3511,alive
0,HIP 14810 b,0.4012,0.0,0.2782,alive
0,GJ 876 d,0.99,0.848,0.2445,alive
0,GJ 876 e,0.99,0.299,0.01,alive
0,gam1 Leo b,0.5952,0.4778,0.0916,alive
0,HAT-P-12 b,0.885,0.7001,0.0691,alive
0,HD 156411 b,0.2522,0.0,0.0553,alive
0,HD 8535 b,0.3213,0.7298,0.4693,alive
0,HD 37605 c,0.5159,0.4252,0.1384,alive
0,K2-138 c,0.7633,0.0,0.0046,alive
0,HD 1605 c,0.1105,0.0,0.0294,alive
0,HAT-P-18 b,0.3548,0.0,0.4217,alive
0,WASP-31 b,0.8541,0.646,0.5291,alive
0,BD+20 2457 b,0.0,0.0,0.5721,dead
0,HD 240210 b,0.6904,0.0,0.6824,alive
0,CoRoT-17 b,0.0,0.7411,0.8332,dead
0,HD 132563 b,0.6115,0.9868,0.3931,alive
0,HD 55696 b,0.5009,0.8153,0.4323,alive
0,HD 148164 b,0.6118,0.9618,0.1026,alive
0,24 Sex c,0.2052,0.0,0.3452,alive
0,K2-138 f,0.7633,0.0,0.1878,alive
0,CoRoT-5 b,0.3099,0.0,0.1795,alive
0,HD 192310 c,0.5529,0.0,0.0853,alive
0,HD 22781 b,0.7661,0.9988,0.1587,alive
0,HD 68988 b,0.0,0.588,0.5363,dead
0,HD 148164 c,0.6118,0.9595,0.3118,alive
0,HD 29985 b,0.7564,0.0,0.1959,alive
0,HD 221416 b,0.2075,0.5331,0.4932,alive
0,HD 3167 c,0.5,0.4564,0.4002,alive
0,HD 90156 b,0.7154,0.3736,0.3202,alive
0,KOI-217 b,0.8504,0.9538,0.2654,alive
0,HD 45350 b,0.2394,0.9394,0.0435,alive
0,TrES-3 b,0.9253,0.292,0.6675,alive
0,WASP-10 b,0.659,0.0,0.0053,alive
0,Kepler-14 b,0.3814,0.0,0.5783,alive
0,MOA-2009-BLG-266L b,0.8826,0.0,0.3112,alive
0,Kepler-15 b,0.6131,0.0,0.0311,alive
0,Kepler-595 c,0.7748,0.0,0.1919,alive
0,Kepler-595 b,0.7748,0.9894,0.2804,alive
0,HD 177830 c,0.0,0.1797,0.5468,dead
0,ups And c,0.0365,0.0,0.2804,alive
0,WASP-5 b,0.5123,0.9405,0.2476,alive
0,OGLE-TR-111 b,0.4642,0.0,0.1233,alive
