t,name,P,R,Xi,death_type
0,WASP-5 b,0.5123,0.8678,0.23,alive
0,OGLE-TR-111 b,0.4642,0.9192,0.0805,alive
0,Kepler-17 b,0.8014,0.8289,0.5327,alive
0,CoRoT-18 b,0.9472,0.0,0.6766,alive
0,HD 192310 b,0.5529,0.0,0.1864,alive
0,PSR B1257+12 b,0.3042,0.0,0.423,alive
0,PSR B1257+12 d,0.3042,0.0,0.101,alive
0,ups And d,0.0365,0.999,0.7119,alive
0,MOA-2007-BLG-192L b,0.95,0.888,0.835,alive
0,Kepler-40 b,0.2537,0.7959,0.6605,alive
0,TOI-756 b,0.942,0.0,0.816,alive
0,HD 107148 b,0.2565,0.6395,0.2916,alive
0,SWEEPS-11 b,0.3654,0.0,0.4083,alive
0,OGLE-TR-211 b,0.4695,0.0,0.2255,alive
0,Lupus-TR-3 b,0.647,0.0,0.1299,alive
0,OGLE-2005-BLG-390L b,0.95,0.5906,0.487,alive
0,HN Peg b,0.9636,0.0,0.2262,alive
0,HD 102365 b,0.4005,0.0,0.1859,alive
0,MOA-2009-BLG-387L b,0.95,0.3716,0.9203,alive
0,GJ 674 b,0.9945,0.0,0.766,alive
0,WASP-96 b,0.0745,0.0571,0.4462,alive
0,HD 69830 c,0.5199,0.2524,0.0035,alive
0,2MASS J04414489+2301513 b,1.0,0.9733,0.9863,alive
0,WASP-21 b,0.0,0.0,0.2939,dead
0,GJ 3634 b,0.9321,0.9912,0.2121,alive
0,HAT-P-4 b,0.3213,0.0,0.0605,alive
0,OGLE-TR-10 b,0.5698,0.0,0.337,alive
0,TOI-178 g,0.798,0.9799,0.1246,alive
0,TOI-178 e,0.798,0.9913,0.2152,alive
0,HD 27442 b,0.0,0.0,0.2435,dead
0,HD 69830 d,0.5199,0.0,0.3479,alive
0,GJ 3021 b,0.9715,0.6539,0.5081,alive
0,HAT-P-16 b,0.6725,0.3002,0.6196,alive
0,CoRoT-8 b,0.782,0.0,0.0711,alive
0,OGLE-TR-113 b,0.293,0.8546,0.4784,alive
0,HD 46375 b,0.2693,0.6684,0.0526,alive
0,HD 147513 b,0.961,0.9597,0.9138,alive
0,HD 221287 b,0.7728,0.9797,0.7245,alive
0,HD 33564 b,0.4758,0.0,0.1247,alive
0,CoRoT-11 b,0.6364,0.0,0.1012,alive
0,K2-138 g,0.7633,0.0,0.3584,alive
0,CoRoT-12 b,0.2398,0.9547,0.1424,alive
0,HAT-P-28 b,0.3511,0.8009,0.1893,alive
0,HD 129445 b,0.5124,0.5449,0.2706,alive
0,Kepler-419 c,0.5124,0.247,0.346,alive
0,GJ 3470 b,0.9648,0.8767,0.7203,alive
0,51 Eri b,0.9917,0.0,0.682,alive
0,HD 70573 b,0.9898,0.0577,0.1282,alive
0,HD 47536 b,0.0,0.0,0.1806,dead
0,CoRoT-13 b,0.7971,0.9884,0.6754,alive
0,CoRoT-14 b,0.4298,0.9654,0.1611,alive
0,47 UMa c,0.2503,0.9816,0.4463,alive
0,47 UMa b,0.2503,0.9057,0.2111,alive
0,47 UMa d,0.2503,0.0,0.1697,alive
0,MOA-2008-BLG-310L b,0.95,0.1471,0.0969,alive
0,Kepler-419 b,0.5124,0.69,0.3737,alive
0,HD 24040 b,0.1328,0.0,0.7349,alive
0,K2-138 e,0.7633,0.0,0.0865,alive
0,HD 11964 c,0.4114,0.7377,0.3861,alive
0,CoRoT-6 b,0.7175,0.9546,0.3291,alive
0,HAT-P-2 b,0.7061,0.3568,0.3825,alive
0,Kepler-59 c,0.9713,0.0,0.4065,alive
0,Kepler-58 c,0.8117,0.0,0.7214,alive
0,HD 154857 c,0.0,0.9944,0.0968,dead
0,GJ 357 d,0.95,0.0,0.1733,alive
0,Kepler-51 c,0.9669,0.0,0.1018,alive
0,BD-210397 c,0.8418,0.1951,0.7265,alive
0,Kepler-62 c,0.7231,0.0,0.1134,alive
0,Kepler-62 b,0.7231,0.0,0.5933,alive
0,CHXR 73 b,1.0,0.7719,0.649,alive
0,FU Tau b,1.0,0.0,0.2004,alive
0,GJ 667 C b,0.98,0.9997,0.4183,alive
0,HD 168443 c,0.0,0.998,0.5026,dead
0,Kepler-59 b,0.9713,0.0,0.3964,alive
0,Kepler-53 b,0.9714,0.0,0.9131,alive
0,HD 82943 c,0.7151,0.856,0.489,alive
0,HD 82943 b,0.7151,0.0,0.1019,alive
0,UZ For b,0.795,0.8015,0.1855,alive
0,Kepler-69 b,0.2217,0.8631,0.6069,alive
0,HIP 5158 c,0.6776,0.0,0.402,alive
0,HU Aqr AB b,0.6367,0.0,0.0605,alive
0,HD 63433 c,0.963,0.0,0.3634,alive
0,Kepler-52 c,0.9783,0.0,0.4848,alive
0,Kepler-55 b,0.9292,0.0,0.7908,alive
0,UZ For c,0.795,0.0,0.1291,alive
0,Kepler-413 b,0.6955,0.3108,0.3937,alive
0,Earth,1.0,0.8598,0.0,alive
0,Mars,1.0,0.597,0.0,alive
1,Kepler-1167 b,0.7631,0.3248,0.0072,alive
1,Kepler-1740 b,0.5681,0.9544,0.367,alive
1,Kepler-1581 b,0.4463,0.0,0.2375,alive
1,Kepler-644 b,0.5607,0.5343,0.1877,alive
1,Kepler-1752 b,0.5562,0.0,0.1933,alive
1,Kepler-280 c,0.4898,0.7563,0.3003,alive
1,Kepler-1208 b,0.7441,0.3062,0.0596,alive
1,Kepler-263 c,0.8745,0.0,0.1551,alive
1,HD 136352 b,0.1316,0.6987,0.0483,alive
1,Kepler-1101 b,0.6341,0.0,0.3382,alive
1,HD 168746 b,0.0524,0.9569,0.773,alive
