t,name,P,R,Xi,death_type
0,Kepler-1167 b,0.7631,0.0,0.7427,alive
0,Kepler-1740 b,0.5682,0.0,0.0473,alive
0,Kepler-1581 b,0.4464,0.5561,0.2301,alive
0,Kepler-644 b,0.5608,0.1579,0.1939,alive
0,Kepler-1752 b,0.5562,0.3634,0.4434,alive
0,Kepler-280 c,0.4898,0.3069,0.017,alive
0,Kepler-1208 b,0.7441,0.7426,0.5412,alive
0,Kepler-263 c,0.8745,0.6398,0.1503,alive
0,HD 136352 b,0.1316,0.9479,0.073,alive
0,Kepler-1101 b,0.6342,0.9912,0.3638,alive
0,HD 168746 b,0.0525,0.0,0.4979,alive
0,HAT-P-7 b,0.4588,0.9962,0.0235,alive
0,Kepler-560 b,0.9593,0.6858,0.5754,alive
0,Kepler-150 d,0.8445,0.9905,0.4126,alive
0,Kepler-498 b,0.6301,0.9885,0.5159,alive
0,Kepler-817 b,0.6177,0.0,0.2028,alive
0,Kepler-937 b,0.5404,0.0,0.0214,alive
0,K2-10 b,0.6367,0.9619,0.225,alive
0,Kepler-571 b,0.6096,0.4558,0.3874,alive
0,Kepler-1458 b,0.6234,0.0,0.5651,alive
0,K2-335 b,0.161,0.0,0.6742,alive
0,Kepler-1600 c,0.5812,0.0,0.0905,alive
0,HIP 41378 f,0.3798,0.102,0.2412,alive
0,Kepler-221 d,0.88,0.9533,0.8219,alive
0,Kepler-626 b,0.4494,0.4133,0.5097,alive
0,K2-39 b,0.7629,0.2537,0.3683,alive
0,Kepler-1549 b,0.652,0.0,0.2056,alive
0,K2-62 c,0.8163,0.0,0.0293,alive
0,Kepler-1149 b,0.5817,0.4322,0.3333,alive
0,Kepler-1288 b,0.5456,0.0,0.3272,alive
0,Kepler-128 b,0.3791,0.9729,0.2227,alive
0,Kepler-1245 b,0.6865,0.0,0.1488,alive
0,Kepler-1068 b,0.5724,0.7987,0.3872,alive
0,Kepler-311 c,0.8079,0.2147,0.413,alive
0,Kepler-150 e,0.8445,0.0927,0.03,alive
0,Kepler-272 c,0.0,0.0,0.9436,dead
