t,name,P,R,Xi,death_type
0,Kepler-1167 b,0.7631,0.0387,0.1532,physical_alive
0,Kepler-1740 b,0.5682,0.1456,0.2692,physical_alive
0,Kepler-1581 b,0.4464,0.5739,0.438,physical_alive
0,Kepler-644 b,0.5608,0.0,0.1811,physical_alive
0,Kepler-1752 b,0.5562,0.032,0.0047,physical_alive
0,Kepler-280 c,0.4898,0.8277,0.2891,physical_alive
0,Kepler-1208 b,0.7441,0.1323,0.5588,contradiction_resonance
0,Kepler-263 c,0.8745,0.0,0.7249,contradiction_resonance
0,HD 136352 b,0.1316,0.984,0.5595,contradiction_resonance
0,Kepler-1101 b,0.6342,0.0,0.2374,physical_alive
0,HD 168746 b,0.0525,0.0,0.0915,physical_alive
0,HAT-P-7 b,0.4588,0.0,0.1916,physical_alive
0,Kepler-560 b,0.9593,0.9945,0.1767,physical_alive
0,Kepler-150 d,0.8445,0.9815,0.5772,contradiction_resonance
0,Kepler-498 b,0.6301,0.0,0.3611,physical_alive
0,Kepler-817 b,0.6177,0.1018,0.0948,physical_alive
0,Kepler-937 b,0.5404,0.0243,0.0103,physical_alive
0,K2-10 b,0.6367,0.2778,0.4059,physical_alive
0,Kepler-571 b,0.6096,0.0,0.4927,physical_alive
0,Kepler-1458 b,0.6234,0.0,0.1692,physical_alive
0,K2-335 b,0.161,0.0,0.7034,contradiction_resonance
0,Kepler-1600 c,0.5812,0.437,0.3039,physical_alive
0,HIP 41378 f,0.3798,0.6497,0.4788,physical_alive
0,Kepler-221 d,0.88,0.3861,0.3158,physical_alive
0,Kepler-626 b,0.4494,0.0,0.1515,physical_alive
0,K2-39 b,0.7629,0.7741,0.058,physical_alive
0,Kepler-1549 b,0.652,0.547,0.3763,physical_alive
0,K2-62 c,0.8163,0.0,0.6767,contradiction_resonance
0,Kepler-1149 b,0.5817,0.9604,0.4165,physical_alive
0,Kepler-1288 b,0.5456,0.9916,0.2681,physical_alive
0,Kepler-128 b,0.3791,0.9833,0.0079,physical_alive
0,Kepler-1245 b,0.6865,0.0,0.1891,physical_alive
0,Kepler-1068 b,0.5724,0.1983,0.2161,physical_alive
0,Kepler-311 c,0.8079,0.0,0.5782,contradiction_resonance
0,Kepler-150 e,0.8445,0.9531,0.4896,physical_alive
0,Kepler-272 c,0.0,0.3696,0.1146,post_physical_resonance
0,Kepler-152 c,0.8929,0.0,0.6675,contradiction_resonance
0,Kepler-1506 b,0.6499,0.1372,0.2013,physical_alive
0,HAT-P-22 b,0.0,0.0,0.5283,post_physical_resonance
0,K2-25 b,0.9927,0.5115,0.206,physical_alive
